0,0.1
0.0083333333333333,0.2
0.0166666666666666,0.3
0.025,0.7
0.0333333333333333,0.9
0.0416666666666666,1.1
0.05,1.3
0.0583333333333333,1.5
0.0666666666666666,1.7
0.075,2.0
0.0833333333333333,2.1
0.0916666666666666,2.3
0.1,2.5
0.1083333333333333,2.7
0.1166666666666666,2.9
0.125,3.1
0.1333333333333333,3.3
0.1416666666666666,3.6
0.15,3.7
0.1583333333333333,3.8
0.1666666666666666,3.9
0.175,4.1
0.1833333333333333,4.2
0.1916666666666666,4.4
0.2,4.6
0.2083333333333333,4.8
0.2166666666666666,4.9
0.225,5.1
0.2333333333333333,5.2
0.2416666666666666,5.4
0.25,5.5
0.2583333333333333,5.5
0.2666666666666666,5.6
0.275,5.8
0.2833333333333333,5.9
0.2916666666666667,6.0
0.3,6.2
0.3083333333333333,6.2
0.3166666666666666,6.4
0.325,6.6
0.3333333333333333,6.6
0.35,6.8
0.3666666666666666,7.0
0.3833333333333333,7.3
0.4,7.4
0.4166666666666667,7.6
0.4333333333333333,7.8
0.45,7.9
0.4666666666666667,8.0
0.4833333333333333,8.2
0.5,8.4
0.5166666666666667,8.5
0.5333333333333333,8.7
0.55,8.8
0.5666666666666667,9.0
0.5833333333333334,9.3
0.6,9.4
0.6166666666666667,9.6
0.6333333333333333,9.7
0.65,9.8
0.6666666666666666,10.0
0.6833333333333333,10.1
0.7,10.3
0.7166666666666667,10.4
0.7333333333333333,10.4
0.75,10.5
0.7666666666666667,10.6
0.7833333333333333,10.7
0.8,10.7
0.8166666666666667,10.8
0.8333333333333334,10.9
0.85,11.0
0.8666666666666667,11.1
0.8833333333333333,11.2
0.9,11.3
0.9166666666666666,11.4
0.9333333333333332,11.6
0.95,11.7
0.9666666666666668,11.7
0.9833333333333332,11.9
1.0,12.0
1.0333333333333334,12.1
1.0666666666666669,12.4
1.1,12.7
1.1333333333333333,12.9
1.1666666666666667,13.0
1.2,13.2
1.2333333333333334,13.3
1.2666666666666666,13.5
1.3,13.7
1.3333333333333333,13.8
1.3666666666666667,14.1
1.4,14.2
1.4333333333333331,14.3
1.4666666666666666,14.5
1.5,14.6
1.5333333333333334,14.8
1.5666666666666669,14.8
1.6,14.9
1.6333333333333333,15.1
1.6666666666666667,15.1
1.7,15.2
1.7333333333333334,15.4
1.7666666666666666,15.4
1.8,15.6
1.8333333333333333,15.7
1.8666666666666667,15.8
1.9,15.8
1.9333333333333331,16.0
1.9666666666666663,16.1
2.0,16.2
2.033333333333333,16.3
2.066666666666667,16.4
2.1,16.5
2.1333333333333333,16.6
2.1666666666666665,16.8
2.2,16.8
2.2333333333333334,16.8
2.2666666666666666,16.9
2.3,17.0
2.333333333333333,17.1
2.4,17.1
2.466666666666667,17.2
2.533333333333333,17.2
2.6,17.4
2.6666666666666665,17.5
2.7333333333333334,17.6200439569036
2.8,17.6
2.8666666666666667,17.7
2.933333333333333,17.7
3.0,17.8
3.066666666666667,17.9
3.1333333333333333,18.0
3.2,18.11809683639463
3.2666666666666666,18.2
3.333333333333333,18.1
3.4,18.25
3.466666666666667,18.3
3.533333333333333,18.35
3.6,18.3
3.6666666666666665,18.4
3.733333333333333,18.5
3.8,18.6
3.8666666666666663,18.55
3.933333333333333,18.68
4.0,18.75
4.066666666666666,18.83
4.133333333333334,18.9
